"","ensembl_gene_id","external_gene_name","chromosome_name","transcript_biotype"
"8968","ENSDARG00000077081","SLC38A10","12","protein_coding"
"8969","ENSDARG00000095757","","7","protein_coding"
"8970","ENSDARG00000055009","COL4A1","9","protein_coding"
"8971","ENSDARG00000114935","","4","protein_coding"
"8972","ENSDARG00000028699","crkl","21","protein_coding"
"8973","ENSDARG00000020080","ek1","24","protein_coding"
"8974","ENSDARG00000088713","si:ch211-226h8.14","22","protein_coding"
"8975","ENSDARG00000102035","slc52a2","19","protein_coding"
"8976","ENSDARG00000060452","SDK2","12","protein_coding"
"8977","ENSDARG00000003085","STAMBPL1","12","protein_coding"
"8978","ENSDARG00000052027","TSPAN1","6","protein_coding"
"8979","ENSDARG00000077414","","7","protein_coding"
"8980","ENSDARG00000036942","gpd1c","19","protein_coding"
"8981","ENSDARG00000035631","sdf2l1","5","protein_coding"
"8982","ENSDARG00000063003","alkbh5","1","protein_coding"
"8983","ENSDARG00000087392","","23","protein_coding"
"8984","ENSDARG00000075831","slc7a8a","7","protein_coding"
"8985","ENSDARG00000088189","","16","protein_coding"
"8986","ENSDARG00000052348","smarca5","1","protein_coding"
"8987","ENSDARG00000017901","tln2a","7","protein_coding"
"8988","ENSDARG00000018124","psmd3","19","protein_coding"
"8989","ENSDARG00000008542","yod1","11","protein_coding"
"8990","ENSDARG00000046030","zgc:110339","25","protein_coding"
"8991","ENSDARG00000102142","ece2b","15","protein_coding"
"8992","ENSDARG00000020929","fam49ba","2","protein_coding"
"8993","ENSDARG00000102736","sars2","15","protein_coding"
"8994","ENSDARG00000063001","atp8a1","14","protein_coding"
"8995","ENSDARG00000078757","","15","protein_coding"
"8996","ENSDARG00000103683","INPP5B","16","protein_coding"
"8997","ENSDARG00000014171","bloc1s1","22","protein_coding"
"8998","ENSDARG00000077126","snrnp70","3","protein_coding"
"8999","ENSDARG00000062174","cacnb4b","6","protein_coding"
"9000","ENSDARG00000042652","RREB1","2","protein_coding"
"9001","ENSDARG00000054340","sla1a","19","protein_coding"
"9002","ENSDARG00000093794","","23","protein_coding"
"9003","ENSDARG00000042900","gtpbp1l","22","protein_coding"
"9004","ENSDARG00000109604","","4","protein_coding"
"9005","ENSDARG00000005927","tbc1d17","3","protein_coding"
"9006","ENSDARG00000056929","kdm6bb","10","protein_coding"
"9007","ENSDARG00000020749","caprin2","4","protein_coding"
"9008","ENSDARG00000093823","","5","protein_coding"
"9009","ENSDARG00000005139","hhatlb","24","protein_coding"
"9010","ENSDARG00000074476","odam","1","protein_coding"
"9011","ENSDARG00000088315","","10","protein_coding"
"9012","ENSDARG00000104837","nudc","19","protein_coding"
"9013","ENSDARG00000105434","GRXCR1","14","protein_coding"
"9014","ENSDARG00000102258","","22","protein_coding"
"9015","ENSDARG00000103564","","3","protein_coding"
"9016","ENSDARG00000075058","gabra6a","14","protein_coding"
"9017","ENSDARG00000073752","CACNA2D1","18","protein_coding"
"9018","ENSDARG00000078620","","1","protein_coding"
"9019","ENSDARG00000061986","TBC1D2B","25","protein_coding"
"9020","ENSDARG00000057830","dnmt3bb.2","23","protein_coding"
"9021","ENSDARG00000008239","mocs3","17","protein_coding"
"9022","ENSDARG00000009685","ppa2","1","protein_coding"
"9023","ENSDARG00000092115","eif4a1a","7","protein_coding"
"9024","ENSDARG00000063594","","23","protein_coding"
"9025","ENSDARG00000018508","zdhhc8b","5","protein_coding"
"9026","ENSDARG00000017504","","7","protein_coding"
"9027","ENSDARG00000078012","zgc:162060","7","protein_coding"
"9028","ENSDARG00000076699","","13","protein_coding"
"9029","ENSDARG00000030402","twist1a","19","protein_coding"
"9030","ENSDARG00000063049","thtpa","24","protein_coding"
"9031","ENSDARG00000015610","tubg1","3","protein_coding"
"9032","ENSDARG00000078301","zgc:162255","22","protein_coding"
"9033","ENSDARG00000091293","dmxl2","18","protein_coding"
"9034","ENSDARG00000103310","","4","protein_coding"
"9035","ENSDARG00000002609","RNF145","14","protein_coding"
"9036","ENSDARG00000069478","slc13a3","8","protein_coding"
"9037","ENSDARG00000103259","opn4xb","5","protein_coding"
"9038","ENSDARG00000012741","maco1b","13","protein_coding"
"9039","ENSDARG00000090427","","16","protein_coding"
"9040","ENSDARG00000060069","isoc1","10","protein_coding"
"9041","ENSDARG00000042656","nrn1b","2","protein_coding"
"9042","ENSDARG00000043271","morc3b","1","protein_coding"
"9043","ENSDARG00000097229","","22","protein_coding"
"9044","ENSDARG00000002216","tbx3a","5","protein_coding"
"9045","ENSDARG00000039754","xpc","8","protein_coding"
"9046","ENSDARG00000068290","si:dkey-286h2.3","7","protein_coding"
"9047","ENSDARG00000020984","slc16a10","20","protein_coding"
"9048","ENSDARG00000070781","gjd2b","20","protein_coding"
"9049","ENSDARG00000105590","","7","protein_coding"
"9050","ENSDARG00000019741","ccndx","3","protein_coding"
"9051","ENSDARG00000036698","znf865","19","protein_coding"
"9052","ENSDARG00000097668","","17","protein_coding"
"9053","ENSDARG00000040732","elavl2","22","protein_coding"
"9054","ENSDARG00000096000","","4","protein_coding"
"9055","ENSDARG00000033489","ube2j1","20","protein_coding"
"9056","ENSDARG00000021681","asrgl1","13","protein_coding"
"9057","ENSDARG00000076476","","4","protein_coding"
"9058","ENSDARG00000097203","","25","protein_coding"
"9059","ENSDARG00000057004","fgl1b","10","protein_coding"
"9060","ENSDARG00000045773","PYURF","25","protein_coding"
"9061","ENSDARG00000094422","","24","protein_coding"
"9062","ENSDARG00000042090","si:ch73-55i23.1","5","protein_coding"
"9063","ENSDARG00000058226","ak3","10","protein_coding"
"9064","ENSDARG00000074505","mturn","19","protein_coding"
"9065","ENSDARG00000097889","","25","protein_coding"
"9066","ENSDARG00000042308","ARHGEF18","22","protein_coding"
"9067","ENSDARG00000004794","ccdc146","4","protein_coding"
"9068","ENSDARG00000067701","","14","protein_coding"
"9069","ENSDARG00000019239","cul1a","2","protein_coding"
"9070","ENSDARG00000094910","","1","protein_coding"
"9071","ENSDARG00000060392","ash2l","10","protein_coding"
"9072","ENSDARG00000086103","slc37a1","9","protein_coding"
"9073","ENSDARG00000037059","SLC44A2","6","protein_coding"
"9074","ENSDARG00000043661","","11","protein_coding"
"9075","ENSDARG00000071499","cxcl32b.1","24","protein_coding"
"9076","ENSDARG00000056029","cyp26c1","17","protein_coding"
"9077","ENSDARG00000105712","","4","protein_coding"
"9078","ENSDARG00000044584","tex261","7","protein_coding"
"9079","ENSDARG00000063559","pigx","22","protein_coding"
"9080","ENSDARG00000018461","zgc:56095","24","protein_coding"
"9081","ENSDARG00000075416","hscb","5","protein_coding"
"9082","ENSDARG00000096001","","4","protein_coding"
"9083","ENSDARG00000091916","ugt5b4","1","protein_coding"
"9084","ENSDARG00000102756","","19","protein_coding"
"9085","ENSDARG00000026771","tmem41ab","1","protein_coding"
"9086","ENSDARG00000105831","","4","protein_coding"
"9087","ENSDARG00000090489","ANKRD66","17","protein_coding"
"9088","ENSDARG00000025850","rps21","23","protein_coding"
"9089","ENSDARG00000079858","tmem163a","9","protein_coding"
"9090","ENSDARG00000025106","ppp3cb","14","protein_coding"
"9091","ENSDARG00000104325","plek","13","protein_coding"
"9092","ENSDARG00000038814","myripb","24","protein_coding"
"9093","ENSDARG00000071643","zgc:171490","22","protein_coding"
"9094","ENSDARG00000102027","","4","protein_coding"
"9095","ENSDARG00000089078","","21","protein_coding"
"9096","ENSDARG00000008098","ifit9","12","protein_coding"
"9097","ENSDARG00000087583","zgc:171717","22","protein_coding"
"9098","ENSDARG00000034541","tgfbr2b","16","protein_coding"
"9099","ENSDARG00000070416","zgc:162816","11","protein_coding"
"9100","ENSDARG00000098880","","18","protein_coding"
"9101","ENSDARG00000054128","","17","protein_coding"
"9102","ENSDARG00000034268","slit3","14","protein_coding"
"9103","ENSDARG00000092090","si:ch211-125e6.12","9","protein_coding"
"9104","ENSDARG00000052082","gabarapb","7","protein_coding"
"9105","ENSDARG00000046053","slc27a6","10","protein_coding"
"9106","ENSDARG00000031795","abcf1","19","protein_coding"
"9107","ENSDARG00000070047","rgs4","6","protein_coding"
"9108","ENSDARG00000075619","cenpo","17","protein_coding"
"9109","ENSDARG00000075354","","6","protein_coding"
"9110","ENSDARG00000091509","atp6ap1la","11","protein_coding"
"9111","ENSDARG00000091864","zgc:158701","16","protein_coding"
"9112","ENSDARG00000041483","PAQR6","16","protein_coding"
"9113","ENSDARG00000022340","ufc1","5","protein_coding"
"9114","ENSDARG00000042322","si:dkey-177p2.6","20","protein_coding"
"9115","ENSDARG00000078865","CXXC5","21","protein_coding"
"9116","ENSDARG00000053124","si:dkey-148a17.6","7","protein_coding"
"9117","ENSDARG00000088202","sh3d19","1","protein_coding"
"9118","ENSDARG00000069307","pomcb","20","protein_coding"
"9119","ENSDARG00000020497","rab7a","11","protein_coding"
"9120","ENSDARG00000052895","htra3a","1","protein_coding"
"9121","ENSDARG00000039220","ST6GALNAC5","2","protein_coding"
"9122","ENSDARG00000005218","wrnip1","2","protein_coding"
"9123","ENSDARG00000076449","KBTBD13","7","protein_coding"
"9124","ENSDARG00000077471","hmces","11","protein_coding"
"9125","ENSDARG00000030722","xirp1","2","protein_coding"
"9126","ENSDARG00000054833","nucb1","3","protein_coding"
"9127","ENSDARG00000069703","efhb","16","protein_coding"
"9128","ENSDARG00000039966","prom1a","14","protein_coding"
"9129","ENSDARG00000075960","","23","protein_coding"
"9130","ENSDARG00000077790","DCAF15","1","protein_coding"
"9131","ENSDARG00000058220","tada3l","11","protein_coding"
"9132","ENSDARG00000075766","sccpdha.1","17","protein_coding"
"9133","ENSDARG00000020469","map3k7","20","protein_coding"
"9134","ENSDARG00000095734","","8","protein_coding"
"9135","ENSDARG00000043304","nop2","16","protein_coding"
"9136","ENSDARG00000016160","gmpr","19","protein_coding"
"9137","ENSDARG00000096188","","4","protein_coding"
"9138","ENSDARG00000044357","tbc1d23","6","protein_coding"
"9139","ENSDARG00000086712","","15","protein_coding"
"9140","ENSDARG00000095013","","4","protein_coding"
"9141","ENSDARG00000075295","","23","protein_coding"
"9142","ENSDARG00000060725","DNAJC16","11","protein_coding"
"9143","ENSDARG00000071592","aqp8a.2","12","protein_coding"
"9144","ENSDARG00000037960","lrrc17","4","protein_coding"
"9145","ENSDARG00000078864","lats2","9","protein_coding"
"9146","ENSDARG00000035879","fuca1.2","19","protein_coding"
"9147","ENSDARG00000094081","","2","protein_coding"
"9148","ENSDARG00000092627","","6","protein_coding"
"9149","ENSDARG00000075265","plaua","13","protein_coding"
"9150","ENSDARG00000102981","cyp2k16","3","protein_coding"
"9151","ENSDARG00000007526","ndufs2","7","protein_coding"
"9152","ENSDARG00000042005","elp3","20","protein_coding"
"9153","ENSDARG00000017038","zgc:152670","2","protein_coding"
"9154","ENSDARG00000099771","gne","1","protein_coding"
"9155","ENSDARG00000005916","SRPK3","8","protein_coding"
"9156","ENSDARG00000039142","arpc5a","2","protein_coding"
"9157","ENSDARG00000040684","PLCD4","9","protein_coding"
"9158","ENSDARG00000079752","","16","protein_coding"
"9159","ENSDARG00000077442","tubgcp5","6","protein_coding"
"9160","ENSDARG00000013855","slc12a3","18","protein_coding"
"9161","ENSDARG00000094793","OVCH2","25","protein_coding"
"9162","ENSDARG00000068562","RBM33","7","protein_coding"
"9163","ENSDARG00000060165","DNAH7","9","protein_coding"
"9164","ENSDARG00000101911","","13","protein_coding"
"9165","ENSDARG00000104721","","14","protein_coding"
"9166","ENSDARG00000042091","btbd2a","22","protein_coding"
"9167","ENSDARG00000091513","C9H3orf70","1","protein_coding"
"9168","ENSDARG00000074282","","1","protein_coding"
"9169","ENSDARG00000074310","RBFOX3","3","protein_coding"
"9170","ENSDARG00000093165","","4","protein_coding"
"9171","ENSDARG00000056000","olfcq10","18","protein_coding"
"9172","ENSDARG00000101363","ano2b","4","protein_coding"
"9173","ENSDARG00000011262","traip","11","protein_coding"
"9174","ENSDARG00000074168","","8","protein_coding"
"9175","ENSDARG00000063233","","17","protein_coding"
"9176","ENSDARG00000075864","","10","protein_coding"
"9177","ENSDARG00000043177","lsm1","8","protein_coding"
"9178","ENSDARG00000061023","borcs6","8","protein_coding"
"9179","ENSDARG00000044628","dtd1","6","protein_coding"
"9180","ENSDARG00000038713","","2","protein_coding"
"9181","ENSDARG00000061301","gmpr2","7","protein_coding"
"9182","ENSDARG00000061774","mbd3a","2","protein_coding"
"9183","ENSDARG00000098669","exd1","17","protein_coding"
"9184","ENSDARG00000041747","sspn","18","protein_coding"
"9185","ENSDARG00000019962","DOP1A","16","protein_coding"
"9186","ENSDARG00000026654","gosr1","15","protein_coding"
"9187","ENSDARG00000077988","","11","protein_coding"
"9188","ENSDARG00000044061","","6","protein_coding"
"9189","ENSDARG00000057911","actc2","20","protein_coding"
"9190","ENSDARG00000032708","arl4cb","9","protein_coding"
"9191","ENSDARG00000013763","rrbp1a","13","protein_coding"
"9192","ENSDARG00000101191","","22","protein_coding"
"9193","ENSDARG00000045660","hic1l","25","protein_coding"
"9194","ENSDARG00000099652","xpot","4","protein_coding"
"9195","ENSDARG00000092427","","2","protein_coding"
"9196","ENSDARG00000092659","ppp3r1a","13","protein_coding"
"9197","ENSDARG00000042627","NHSL1","20","protein_coding"
"9198","ENSDARG00000074726","NRDE2","17","protein_coding"
"9199","ENSDARG00000070069","pitx3","13","protein_coding"
"9200","ENSDARG00000097102","si:ch73-281n10.2","15","protein_coding"
"9201","ENSDARG00000068858","il2rga","10","protein_coding"
"9202","ENSDARG00000090461","","4","protein_coding"
"9203","ENSDARG00000014215","CDH13","18","protein_coding"
"9204","ENSDARG00000100808","","22","protein_coding"
"9205","ENSDARG00000055698","","13","protein_coding"
"9206","ENSDARG00000113502","","6","protein_coding"
"9207","ENSDARG00000057688","ical1","6","protein_coding"
"9208","ENSDARG00000095993","","4","protein_coding"
"9209","ENSDARG00000026149","slc46a1","15","protein_coding"
"9210","ENSDARG00000018562","cope","2","protein_coding"
"9211","ENSDARG00000071684","rx1","22","protein_coding"
"9212","ENSDARG00000113384","","7","protein_coding"
"9213","ENSDARG00000045190","ch25h","12","protein_coding"
"9214","ENSDARG00000056006","","18","protein_coding"
"9215","ENSDARG00000062884","MAP3K2","6","protein_coding"
"9216","ENSDARG00000062164","atrn","13","protein_coding"
"9217","ENSDARG00000091260","MYLK4","2","protein_coding"
"9218","ENSDARG00000075682","orc6","7","protein_coding"
"9219","ENSDARG00000028201","commd8","13","protein_coding"
"9220","ENSDARG00000031737","pthlha","4","protein_coding"
"9221","ENSDARG00000042962","dgcr2","10","protein_coding"
"9222","ENSDARG00000075282","IRS2","9","protein_coding"
"9223","ENSDARG00000070174","PLEKHH3","3","protein_coding"
"9224","ENSDARG00000076451","PRDM2","11","protein_coding"
"9225","ENSDARG00000104011","rps17","7","protein_coding"
"9226","ENSDARG00000090002","CLN6","25","protein_coding"
"9227","ENSDARG00000092499","","24","protein_coding"
"9228","ENSDARG00000097863","","16","protein_coding"
"9229","ENSDARG00000058094","ciarta","19","protein_coding"
"9230","ENSDARG00000069305","","20","protein_coding"
"9231","ENSDARG00000045843","apex1","4","protein_coding"
"9232","ENSDARG00000025914","si:dkey-190g11.3","8","protein_coding"
"9233","ENSDARG00000043854","ppil4","20","protein_coding"
"9234","ENSDARG00000055498","","2","protein_coding"
"9235","ENSDARG00000036232","trpm7","18","protein_coding"
"9236","ENSDARG00000099768","","25","protein_coding"
"9237","ENSDARG00000095486","","4","protein_coding"
"9238","ENSDARG00000025012","tpi1a","19","protein_coding"
"9239","ENSDARG00000099870","tnni4a","4","protein_coding"
"9240","ENSDARG00000068915","si:ch73-42k18.1","5","protein_coding"
"9241","ENSDARG00000097209","cox8b","25","protein_coding"
"9242","ENSDARG00000086838","","10","protein_coding"
"9243","ENSDARG00000075521","CPZ","1","protein_coding"
"9244","ENSDARG00000070677","fezf2","11","protein_coding"
"9245","ENSDARG00000078244","","23","protein_coding"
"9246","ENSDARG00000102146","","11","protein_coding"
"9247","ENSDARG00000018361","sult1st3","8","protein_coding"
"9248","ENSDARG00000045094","smad10a","19","protein_coding"
"9249","ENSDARG00000086669","edn3b","23","protein_coding"
"9250","ENSDARG00000059175","cep19","22","protein_coding"
"9251","ENSDARG00000026787","aqp7","21","protein_coding"
"9252","ENSDARG00000007065","mrps18b","19","protein_coding"
"9253","ENSDARG00000063713","SYNGAP1","19","protein_coding"
"9254","ENSDARG00000093201","","5","protein_coding"
"9255","ENSDARG00000068663","zgc:152951","9","protein_coding"
"9256","ENSDARG00000089071","","11","protein_coding"
"9257","ENSDARG00000075273","","10","protein_coding"
"9258","ENSDARG00000094935","si:dkey-58f10.11","5","protein_coding"
"9259","ENSDARG00000041358","lgi3","8","protein_coding"
"9260","ENSDARG00000101777","pdlim5a","5","protein_coding"
"9261","ENSDARG00000052113","hexa","25","protein_coding"
"9262","ENSDARG00000088040","mdp1","23","protein_coding"
"9263","ENSDARG00000077313","SLC46A3","10","protein_coding"
"9264","ENSDARG00000037030","CASZ1","23","protein_coding"
"9265","ENSDARG00000037337","cnrip1b","13","protein_coding"
"9266","ENSDARG00000006207","gpx1b","6","protein_coding"
"9267","ENSDARG00000094284","si:dkey-58f10.10","5","protein_coding"
"9268","ENSDARG00000004877","rock2b","20","protein_coding"
"9269","ENSDARG00000061719","WASHC4","25","protein_coding"
"9270","ENSDARG00000058473","st6galnac3","2","protein_coding"
"9271","ENSDARG00000063014","dbpa","19","protein_coding"
"9272","ENSDARG00000104255","","12","protein_coding"
"9273","ENSDARG00000104995","ugt5b1","1","protein_coding"
"9274","ENSDARG00000001835","nalcn","9","protein_coding"
"9275","ENSDARG00000074372","ELFN1","1","protein_coding"
"9276","ENSDARG00000104203","ugt5b5","1","protein_coding"
"9277","ENSDARG00000099945","","4","protein_coding"
"9278","ENSDARG00000016718","","21","protein_coding"
"9279","ENSDARG00000070321","clrn2","1","protein_coding"
"9280","ENSDARG00000074600","GPR78","1","protein_coding"
"9281","ENSDARG00000079698","asb13a.1","4","protein_coding"
"9282","ENSDARG00000067718","si:dkey-3h3.3","5","protein_coding"
"9283","ENSDARG00000029822","CEL","21","protein_coding"
"9284","ENSDARG00000007467","ifit10","12","protein_coding"
"9285","ENSDARG00000005762","COL14A1","16","protein_coding"
"9286","ENSDARG00000101609","","8","protein_coding"
"9287","ENSDARG00000094760","","5","protein_coding"
"9288","ENSDARG00000090537","ifit11","12","protein_coding"
"9289","ENSDARG00000058047","pafah1b3","16","protein_coding"
"9290","ENSDARG00000069278","trmt5","13","protein_coding"
"9291","ENSDARG00000099640","eed","1","protein_coding"
"9292","ENSDARG00000057021","vps36","10","protein_coding"
"9293","ENSDARG00000101296","","4","protein_coding"
"9294","ENSDARG00000011371","zgc:64106","21","protein_coding"
"9295","ENSDARG00000074205","","1","protein_coding"
"9296","ENSDARG00000006079","GPR37L1","22","protein_coding"
"9297","ENSDARG00000012219","dpf2","5","protein_coding"
"9298","ENSDARG00000033899","ap2m1b","18","protein_coding"
"9299","ENSDARG00000006899","far1","25","protein_coding"
"9300","ENSDARG00000092091","","7","protein_coding"
"9301","ENSDARG00000014462","rab3c","8","protein_coding"
"9302","ENSDARG00000074346","","16","protein_coding"
"9303","ENSDARG00000043821","klf7b","9","protein_coding"
"9304","ENSDARG00000103520","si:dkey-148a17.5","7","protein_coding"
"9305","ENSDARG00000017086","asb12a","5","protein_coding"
"9306","ENSDARG00000058546","","18","protein_coding"
"9307","ENSDARG00000058663","","11","protein_coding"
"9308","ENSDARG00000074816","","8","protein_coding"
"9309","ENSDARG00000090118","","1","protein_coding"
"9310","ENSDARG00000002880","VPS50","19","protein_coding"
"9311","ENSDARG00000092680","","5","protein_coding"
"9312","ENSDARG00000087474","ccr6a","20","protein_coding"
"9313","ENSDARG00000004632","egln1b","11","protein_coding"
"9314","ENSDARG00000057100","zwilch","18","protein_coding"
"9315","ENSDARG00000105156","EGLN1","11","protein_coding"
"9316","ENSDARG00000103872","","4","protein_coding"
"9317","ENSDARG00000091013","","4","protein_coding"
"9318","ENSDARG00000103858","ARF5","11","protein_coding"
"9319","ENSDARG00000096005","","4","protein_coding"
"9320","ENSDARG00000078691","GIGYF1","10","protein_coding"
"9321","ENSDARG00000002937","meis1a","1","protein_coding"
"9322","ENSDARG00000090947","","4","protein_coding"
"9323","ENSDARG00000056838","","11","protein_coding"
"9324","ENSDARG00000102531","anapc11","6","protein_coding"
"9325","ENSDARG00000037845","col9a3","23","protein_coding"
"9326","ENSDARG00000059070","gars1","24","protein_coding"
"9327","ENSDARG00000104100","bmpr1ba","5","protein_coding"
"9328","ENSDARG00000055552","dvl1b","11","protein_coding"
"9329","ENSDARG00000080009","BAHCC1","12","protein_coding"
"9330","ENSDARG00000087093","si:ch211-157c3.4","3","protein_coding"
"9331","ENSDARG00000036168","nfatc1","19","protein_coding"
"9332","ENSDARG00000020812","","4","protein_coding"
"9333","ENSDARG00000044265","cdc37l1","10","protein_coding"
"9334","ENSDARG00000096532","","12","protein_coding"
"9335","ENSDARG00000011819","PCNX1","13","protein_coding"
"9336","ENSDARG00000031894","lef1","1","protein_coding"
"9337","ENSDARG00000074210","","11","protein_coding"
"9338","ENSDARG00000061373","ZNF142","9","protein_coding"
"9339","ENSDARG00000025820","chek2","5","protein_coding"
"9340","ENSDARG00000030490","sptb","17","protein_coding"
"9341","ENSDARG00000063314","","25","protein_coding"
"9342","ENSDARG00000016207","zgc:112408","24","protein_coding"
"9343","ENSDARG00000076139","","13","protein_coding"
"9344","ENSDARG00000015557","zgc:100829","21","protein_coding"
"9345","ENSDARG00000103093","alg14","24","protein_coding"
"9346","ENSDARG00000073876","","11","protein_coding"
"9347","ENSDARG00000074244","ARHGEF10L","23","protein_coding"
"9348","ENSDARG00000061478","igf2bp1","3","protein_coding"
"9349","ENSDARG00000059259","pabpc4","17","protein_coding"
"9350","ENSDARG00000042128","pacsin1b","6","protein_coding"
"9351","ENSDARG00000027153","gabrr3a","10","protein_coding"
"9352","ENSDARG00000041691","bhlhe41","18","protein_coding"
"9353","ENSDARG00000093420","creb1b","9","protein_coding"
"9354","ENSDARG00000043019","exoc1","20","protein_coding"
"9355","ENSDARG00000036179","MYO1E","7","protein_coding"
"9356","ENSDARG00000032238","dnm3a","20","protein_coding"
"9357","ENSDARG00000086207","","19","protein_coding"
"9358","ENSDARG00000103237","","21","protein_coding"
"9359","ENSDARG00000037411","npy1r","1","protein_coding"
"9360","ENSDARG00000037587","SYNPR","11","protein_coding"
"9361","ENSDARG00000059252","zpcx","17","protein_coding"
"9362","ENSDARG00000095461","","4","protein_coding"
"9363","ENSDARG00000058532","","16","protein_coding"
"9364","ENSDARG00000007745","uqcrfs1","7","protein_coding"
"9365","ENSDARG00000101702","chrna7a","7","protein_coding"
"9366","ENSDARG00000027966","ap1s3b","2","protein_coding"
"9367","ENSDARG00000098130","bola3","7","protein_coding"
"9368","ENSDARG00000095458","","19","protein_coding"
"9369","ENSDARG00000104625","","4","protein_coding"
"9370","ENSDARG00000017127","pdzk1ip1","22","protein_coding"
"9371","ENSDARG00000033413","acot18","4","protein_coding"
"9372","ENSDARG00000024324","arhgap1","7","protein_coding"
"9373","ENSDARG00000104529","cyp2k17","3","protein_coding"
"9374","ENSDARG00000090768","zgc:173556","17","protein_coding"
"9375","ENSDARG00000059247","tmem54a","17","protein_coding"
"9376","ENSDARG00000104170","42sp43","19","protein_coding"
"9377","ENSDARG00000098810","vstm2b","7","protein_coding"
"9378","ENSDARG00000039830","gng5","2","protein_coding"
"9379","ENSDARG00000074747","","15","protein_coding"
"9380","ENSDARG00000041540","sult1st2","8","protein_coding"
"9381","ENSDARG00000069297","upf3a","9","protein_coding"
"9382","ENSDARG00000003058","cep43","20","protein_coding"
"9383","ENSDARG00000038878","il12a","15","protein_coding"
"9384","ENSDARG00000087839","","2","protein_coding"
"9385","ENSDARG00000094992","otx1","17","protein_coding"
"9386","ENSDARG00000060326","","2","protein_coding"
"9387","ENSDARG00000098451","TLCD4","24","protein_coding"
"9388","ENSDARG00000074094","tgm2b","6","protein_coding"
"9389","ENSDARG00000068567","shha","7","protein_coding"
"9390","ENSDARG00000055770","dffa","23","protein_coding"
"9391","ENSDARG00000024546","pla2g4aa","2","protein_coding"
"9392","ENSDARG00000101526","si:dkey-82o10.4","16","protein_coding"
"9393","ENSDARG00000091058","sting1","14","protein_coding"
"9394","ENSDARG00000016429","FARP2","6","protein_coding"
"9395","ENSDARG00000098097","","7","protein_coding"
"9396","ENSDARG00000042989","si:dkeyp-84f3.5","16","protein_coding"
"9397","ENSDARG00000035043","pfdn5","6","protein_coding"
"9398","ENSDARG00000090228","","13","protein_coding"
"9399","ENSDARG00000024479","pigk","2","protein_coding"
"9400","ENSDARG00000086449","","4","protein_coding"
"9401","ENSDARG00000032801","grk5","10","protein_coding"
"9402","ENSDARG00000095026","","5","protein_coding"
"9403","ENSDARG00000017366","prdm4","4","protein_coding"
"9404","ENSDARG00000018476","pak2b","22","protein_coding"
"9405","ENSDARG00000069118","ppp2r5eb","13","protein_coding"
"9406","ENSDARG00000099811","","14","protein_coding"
"9407","ENSDARG00000101589","","8","protein_coding"
"9408","ENSDARG00000095297","","1","protein_coding"
"9409","ENSDARG00000099692","ccnyl1","9","protein_coding"
"9410","ENSDARG00000059348","","25","protein_coding"
"9411","ENSDARG00000063719","USP8","18","protein_coding"
"9412","ENSDARG00000044812","ttc17","7","protein_coding"
"9413","ENSDARG00000052025","pomgnt1","6","protein_coding"
"9414","ENSDARG00000042927","mapre1a","8","protein_coding"
"9415","ENSDARG00000075813","","3","protein_coding"
"9416","ENSDARG00000054414","spata17","17","protein_coding"
"9417","ENSDARG00000075248","zgc:172133","22","protein_coding"
"9418","ENSDARG00000019371","flt1","24","protein_coding"
"9419","ENSDARG00000012066","dcn","4","protein_coding"
"9420","ENSDARG00000098103","tefb","3","protein_coding"
"9421","ENSDARG00000077818","nrg2a","21","protein_coding"
"9422","ENSDARG00000022668","grapb","1","protein_coding"
"9423","ENSDARG00000099609","tpbga","19","protein_coding"
"9424","ENSDARG00000102319","","13","protein_coding"
"9425","ENSDARG00000027590","septin2","2","protein_coding"
"9426","ENSDARG00000062347","","10","protein_coding"
"9427","ENSDARG00000074804","ATXN7","11","protein_coding"
"9428","ENSDARG00000056150","rbms2b","23","protein_coding"
"9429","ENSDARG00000117185","","22","protein_coding"
"9430","ENSDARG00000096226","","4","protein_coding"
"9431","ENSDARG00000087258","YPEL2","15","protein_coding"
"9432","ENSDARG00000094308","","4","protein_coding"
"9433","ENSDARG00000078221","plekha2","8","protein_coding"
"9434","ENSDARG00000055994","","18","protein_coding"
"9435","ENSDARG00000111614","","22","protein_coding"
"9436","ENSDARG00000097527","","4","protein_coding"
"9437","ENSDARG00000027687","tmem230a","10","protein_coding"
"9438","ENSDARG00000058806","naxe","19","protein_coding"
"9439","ENSDARG00000105249","","20","protein_coding"
"9440","ENSDARG00000095940","","22","protein_coding"
"9441","ENSDARG00000020702","odf2b","8","protein_coding"
"9442","ENSDARG00000100915","","22","protein_coding"
"9443","ENSDARG00000063288","slc2a11b","5","protein_coding"
"9444","ENSDARG00000074899","","3","protein_coding"
"9445","ENSDARG00000035535","RASA1","5","protein_coding"
"9446","ENSDARG00000059653","kdm2aa","1","protein_coding"
"9447","ENSDARG00000056145","","4","protein_coding"
"9448","ENSDARG00000058961","ngfa","23","protein_coding"
"9449","ENSDARG00000014287","eno2","19","protein_coding"
"9450","ENSDARG00000103173","stx8","6","protein_coding"
"9451","ENSDARG00000067979","GTF3C5","21","protein_coding"
"9452","ENSDARG00000014047","cldn7b","10","protein_coding"
"9453","ENSDARG00000102377","slc6a16b","24","protein_coding"
"9454","ENSDARG00000026333","xkr7b","23","protein_coding"
"9455","ENSDARG00000057984","eps8l1a","3","protein_coding"
